Date,Close,Open,RSV,ATR,MA7,MA14,MA21,Middle_Band,Upper_Band,Lower_Band,DIF,DEA,MACD
1990/5/23,2856.26,2852.23,89.3272,39.7063,2835.2743,2793.3543,2752.6914,2757.004,2902.43,2611.578,46.6931,37.1853,19.0156
1990/5/24,2855.55,2856.26,79.0815,38.6658,2840.0029,2803.725,2761.6967,2765.9525,2912.562,2619.343,47.089,39.1661,15.8459
1990/5/25,2820.92,2853.18,22.8362,38.5975,2840.18,2810.8179,2768.57,2774.746,2911.5945,2637.8975,44.1001,40.1529,7.8944
1990/5/29,2870.49,2819.5,98.1813,39.6863,2845.72,2820.5986,2779.3052,2785.4325,2916.756,2654.109,45.2101,41.1643,8.0915
1990/5/30,2878.56,2871.44,80.7781,42.2901,2854.0986,2831.0043,2789.8671,2795.9145,2921.4181,2670.4109,46.2082,42.1731,8.0703
1990/5/31,2876.66,2877.37,78.578,40.7773,2858.6671,2840.8721,2799.7595,2805.2655,2925.1731,2685.3579,46.3121,43.0009,6.6225
1990/6/1,2900.97,2878.88,99.2142,40.1617,2865.63,2847.9714,2809.8229,2815.5055,2931.0865,2699.9245,47.805,43.9617,7.6866
1990/6/4,2935.19,2900.73,98.5637,41.5066,2876.9057,2856.09,2821.2048,2826.747,2943.0013,2710.4927,51.1597,45.4013,11.5167
1990/6/5,2925,2934.95,82.0144,42.4047,2886.8271,2863.415,2831.4257,2836.916,2949.9882,2723.8438,52.3921,46.7995,11.1852
1990/6/6,2911.65,2925,71.797,41.0944,2899.7886,2869.9843,2840.4748,2845.8205,2952.4899,2739.1511,51.6956,47.7787,7.8338
1990/6/7,2897.33,2911.65,60.8373,40.6391,2903.6229,2874.6714,2848.2733,2854.043,2948.7366,2759.3494,49.4185,48.1067,2.6237
1990/6/8,2862.38,2897.33,33.4878,41.0456,2901.3114,2877.705,2854.44,2860.2365,2937.7602,2782.7128,44.2832,47.342,-6.1175
1990/6/11,2892.57,2862.87,37.2208,40.4987,2903.5843,2881.1257,2861.7762,2864.786,2938.3967,2791.1753,42.1635,46.3063,-8.2855
1990/6/12,2933.42,2892.57,83.0733,43.4553,2908.22,2886.925,2868.0543,2870.3805,2947.0913,2793.6697,43.281,45.7012,-4.8405
1990/6/13,2929.7,2933.42,78.8977,44.8413,2907.4357,2892.1707,2873.2052,2875.743,2953.3357,2798.1503,43.3665,45.2343,-3.7356
1990/6/14,2928.22,2929.95,77.2365,43.2084,2907.8957,2897.3614,2878.2419,2881.17,2957.424,2804.916,42.8212,44.7517,-3.8609
1990/6/15,2935.89,2928.22,85.8458,42.2063,2911.3586,2905.5736,2883.7757,2886.379,2962.6403,2810.1177,42.5179,44.3049,-3.574
1990/6/18,2882.18,2935.4,25.5584,43.0809,2909.1943,2906.4086,2886.179,2889.4925,2959.1241,2819.8609,37.5111,42.9461,-10.87
1990/6/19,2893.56,2882.18,38.332,41.8101,2913.6486,2907.48,2889.6862,2891.9365,2958.3,2825.573,34.0688,41.1707,-14.2038
1990/6/20,2895.3,2893.56,40.2851,41.0515,2914.0386,2908.8114,2892.0967,2894.09,2957.7693,2830.4107,31.1224,39.161,-16.0773
1990/6/21,2901.73,2895.3,47.5025,40.2764,2909.5114,2908.8657,2894.4538,2896.3635,2957.5541,2835.1729,28.9722,37.1232,-16.3022
1990/6/22,2857.18,2901.73,3.406,42.331,2899.1514,2903.2936,2894.4976,2896.445,2957.4107,2835.4793,23.4035,34.3793,-21.9516
1990/6/25,2845.05,2856.93,4.3458,41.7823,2887.27,2897.5829,2893.9976,2897.6515,2953.0223,2842.2807,17.8063,31.0647,-26.5168
1990/6/26,2842.33,2845.05,3.758,41.4471,2873.9043,2892.6314,2895.0171,2896.2435,2955.7966,2836.6904,13.0011,27.452,-28.9018
1990/6/27,2862.13,2842.33,28.4102,41.0666,2871.04,2890.1171,2894.619,2895.422,2956.4376,2834.4064,10.6676,24.0951,-26.8549
1990/6/28,2878.71,2862.13,45.0785,41.5983,2868.9186,2891.2836,2894.6262,2895.5245,2956.4141,2834.6349,10.0405,21.2842,-22.4873
1990/6/29,2880.69,2878.22,53.4133,41.0134,2866.8314,2890.435,2894.8181,2894.5105,2955.693,2833.328,9.5927,18.9459,-18.7064
1990/7/2,2899.26,2880.7,73.8604,39.9025,2866.4786,2887.995,2894.7367,2892.714,2950.904,2834.524,10.6139,17.2795,-13.3312
1990/7/3,2911.63,2899,87.4807,39.6523,2874.2571,2886.7043,2893.6148,2892.0455,2948.9672,2835.1238,12.2798,16.2795,-7.9995
1990/7/5,2879.21,2911.6,51.7837,39.615,2879.1371,2883.2036,2891.4343,2890.4235,2946.8395,2834.0075,10.8588,15.1954,-8.6731
1990/7/6,2904.95,2879.2,87.2333,39.5568,2888.0829,2880.9936,2891.1152,2890.8045,2947.5191,2834.0899,11.6751,14.4914,-5.6324
1990/7/9,2914.11,2905.7,92.9755,40.267,2895.5086,2883.2743,2891.9143,2893.391,2949.3609,2837.4211,12.9124,14.1756,-2.5264
1990/7/10,2890.84,2914.1,66.5683,39.2336,2897.2414,2883.08,2893.2695,2893.3045,2949.285,2837.324,11.8782,13.7161,-3.6757
1990/7/11,2932.67,2890.8,99.687,39.4384,2904.6671,2885.7493,2895.179,2893.267,2949.1353,2837.3987,14.2695,13.8268,0.8855
1990/7/12,2969.8,2932.7,99.4975,42.2999,2914.7443,2890.6114,2896.9114,2895.272,2958.9745,2831.5695,18.9424,14.8499,8.185
1990/7/13,2980.2,2969.8,82.7534,44.4785,2924.54,2899.3986,2899.3162,2897.871,2970.8059,2824.9361,23.2172,16.5234,13.3877
1990/7/16,2999.75,2979.2,93.5098,44.08,2941.76,2910.4486,2902.7224,2901.064,2985.6654,2816.4626,27.8614,18.791,18.1408
1990/7/17,2999.75,2999.8,92.2389,43.21,2955.3029,2921.6929,2905.7633,2906.9425,3001.7429,2812.1421,31.1825,21.2693,19.8264
1990/7/18,2981.68,2999.8,79.3133,42.195,2964.9557,2930.2321,2910.5014,2911.3485,3011.5663,2811.1307,31.9876,23.4129,17.1494
1990/7/19,2993.81,2981.7,85.985,43.3182,2979.6657,2938.4536,2915.2752,2916.274,3022.6638,2809.8842,33.2216,25.3747,15.6938
1990/7/20,2961.14,2993.8,58.7145,44.3262,2983.7329,2944.2,2918.4105,2919.2445,3027.2301,2811.2589,31.2036,26.5404,9.3262
1990/7/23,2904.7,2960.1,33.1439,48.9415,2974.4329,2944.5886,2918.5519,2921.6205,3025.8832,2817.3578,24.7646,26.1853,-2.8414
1990/7/24,2922.52,2904.9,44.3939,50.5242,2966.1929,2945.3664,2921.6633,2925.494,3023.3377,2827.6503,20.8591,25.12,-8.5218
1990/7/25,2930.94,2922.5,49.7096,51.1225,2956.3629,2949.0614,2925.7533,2929.9245,3019.5957,2840.2533,18.2332,23.7427,-11.0189
1990/7/26,2920.79,2930.2,43.3018,49.8923,2945.0829,2950.1929,2929.4895,2932.8575,3016.8496,2848.8654,15.1585,22.0258,-13.7347
1990/7/27,2898.51,2920.8,29.2361,48.9072,2933.2014,2949.0786,2931.2219,2933.8475,3015.5889,2852.1061,10.7994,19.7806,-17.9623
1990/7/30,2917.33,2896.8,42.295,49.7981,2922.2757,2950.9707,2933.061,2935.6795,3013.9743,2857.3847,8.7624,17.5769,-17.629
1990/7/31,2905.2,2876.73,34.4178,50.6254,2914.2843,2949.0086,2934.2281,2935.9765,3013.7328,2858.2202,6.099,15.2813,-18.3647
1990/8/1,2899.26,2905.2,30.658,51.2493,2913.5071,2943.97,2934.2281,2935.358,3014.12,2856.596,3.4689,12.9188,-18.8999
1990/8/2,2864.6,2898.8,11.9004,50.9857,2905.2329,2935.7129,2931.9886,2934.6275,3015.8158,2853.4392,-1.3961,10.0558,-22.904
1990/8/3,2809.65,2863.1,33.7454,55.8511,2887.9057,2922.1343,2928.6762,2929.8625,3027.836,2831.889,-9.5754,6.1296,-31.4099
1990/8/6,2716.34,2806.2,13.1403,60.896,2858.6986,2901.8907,2919.6948,2919.974,3056.8431,2783.1049,-23.318,0.2401,-47.1161
1990/8/7,2710.64,2715.1,10.9999,61.4084,2831.86,2882.5307,2910.0057,2910.964,3076.6084,2745.3196,-34.2739,-6.6627,-55.2225
1990/8/8,2734.9,2710.64,21.3469,61.4421,2805.7986,2864.0371,2902.58,2901.0755,3083.9775,2718.1735,-40.5318,-13.4365,-54.1906
1990/8/9,2758.91,2733.91,31.644,60.8905,2784.9,2849.5921,2894.3057,2890.531,3080.9138,2700.1482,-43.0575,-19.3607,-47.3936
1990/8/10,2716.58,2756.44,13.9586,60.4662,2758.8029,2836.155,2882.2476,2877.35,3077.8286,2676.8714,-47.9224,-25.0731,-45.6986
1990/8/13,2746.78,2714.11,26.8023,60.62,2741.9714,2823.6021,2871.1324,2864.7015,3064.5843,2664.8187,-48.7787,-29.8142,-37.9289
1990/8/14,2747.77,2746.78,29.9587,62.0893,2733.1314,2810.5186,2859.1333,2852.1025,3047.8669,2656.3381,-48.8147,-33.6143,-30.4008
1990/8/15,2748.27,2747.77,36.0286,60.4651,2737.6929,2798.1957,2847.1581,2840.432,3031.4429,2649.4211,-48.2467,-36.5408,-23.4119
1990/8/16,2681.44,2747.77,0,60.9197,2733.5214,2782.6907,2832.861,2824.8135,3014.0943,2635.5327,-52.5831,-39.7492,-25.6677
1990/8/17,2644.8,2681.44,18.9725,61.2719,2720.65,2763.2243,2816.2414,2808.9965,3003.1184,2614.8746,-58.3041,-43.4602,-29.6878
1990/8/20,2656.44,2642.08,26.5329,60.7325,2706.0114,2745.4557,2801.7319,2796.5835,2996.5985,2596.5685,-61.1934,-47.0068,-28.3732
1990/8/21,2603.96,2655.94,13.1172,61.9287,2689.9229,2724.3629,2787.411,2780.6555,2989.0065,2572.3045,-66.9462,-50.9947,-31.903
1990/8/22,2560.15,2604.46,0,61.8895,2663.2614,2702.6164,2770.1552,2762.116,2979.9335,2544.2985,-74.1853,-55.6328,-37.1049
1990/8/23,2483.42,2560.15,1.6194,63.286,2625.4971,2679.3143,2748.8448,2740.2475,2977.9074,2502.5876,-85.1324,-61.5327,-47.1993
1990/8/24,2532.92,2483.42,18.6391,62.8856,2594.7329,2666.2129,2730.3748,2721.968,2964.5617,2479.3743,-88.7903,-66.9843,-43.6121
1990/8/27,2611.63,2532.67,45.7021,68.7009,2584.76,2659.1407,2716.7138,2706.683,2935.5847,2477.7813,-84.3655,-70.4605,-27.81
1990/8/28,2614.85,2609.41,50.5984,69.7701,2580.4814,2650.5657,2702.31,2692.1655,2904.2678,2480.0632,-79.6805,-72.3045,-14.7519
1990/8/29,2632.43,2614.85,75.825,68.0222,2577.0514,2641.5314,2689.321,2678.824,2868.4555,2489.1925,-73.6994,-72.5835,-2.2319
1990/8/30,2593.32,2632.43,60.1312,66.8942,2575.5314,2632.7271,2674.7524,2665.26,2836.8955,2493.6245,-71.2934,-72.3255,2.0641
1990/8/31,2614.36,2593.32,76.539,65.0339,2583.2757,2623.2686,2662.8362,2655.4955,2814.2833,2496.7077,-66.9175,-71.2439,8.6527
1990/9/4,2613.37,2614.36,81.9299,63.2358,2601.84,2613.6686,2653.4895,2650.347,2807.4972,2493.1968,-62.8055,-69.5562,13.5014
1990/9/5,2628.22,2613.37,90.965,62.0254,2615.4543,2605.0936,2649.2933,2646.226,2801.024,2491.428,-57.6835,-67.1817,18.9964
1990/9/6,2596.29,2628.22,70.6984,60.7607,2613.2629,2599.0114,2643.8481,2639.2955,2789.7274,2488.8636,-55.5602,-64.8574,18.5943
1990/9/7,2619.55,2596.29,78.6957,59.2328,2613.9343,2597.2079,2638.3552,2632.3275,2771.953,2492.702,-51.4081,-62.1675,21.5189
1990/9/10,2615.59,2618.07,51.7116,59.7776,2611.5286,2594.29,2631.5305,2627.278,2761.2649,2493.2911,-47.885,-59.311,22.852
1990/9/11,2612.62,2615.35,47.9738,57.1013,2614.2857,2594.9086,2626.58,2620.57,2742.2326,2498.9074,-44.816,-56.412,23.192
1990/9/12,2625.74,2612.87,64.4853,55.1112,2615.9114,2599.5936,2620.8162,2614.4685,2720.508,2508.429,-40.8542,-53.3004,24.8925
1990/9/13,2582.67,2625.25,10.2819,54.549,2611.5257,2606.6829,2612.9543,2606.1885,2692.2093,2520.1677,-40.7204,-50.7844,20.1281
1990/9/14,2564.11,2582.67,12.5633,52.9005,2602.3671,2608.9107,2604.1848,2600.322,2680.542,2520.102,-41.6321,-48.954,14.6438
1990/9/17,2567.33,2564.11,20.4207,51.0276,2598.23,2605.7464,2598.751,2596.4485,2675.0917,2517.8053,-41.6151,-47.4862,11.7422
1990/9/18,2571.29,2567.33,31.5419,50.5806,2591.3357,2602.635,2595.2505,2592.191,2666.245,2518.137,-40.8116,-46.1513,10.6793
1990/9/19,2557.43,2571.29,20.0646,50.307,2583.0271,2597.2779,2590.5357,2589.8645,2665.273,2514.456,-40.8227,-45.0855,8.5258
1990/9/20,2518.32,2556.44,7.7655,50.323,2569.5557,2591.9207,2586.4576,2587.773,2668.7652,2506.7808,-43.486,-44.7656,2.5593
1990/9/21,2512.38,2518.32,18.4618,49.4185,2553.3614,2584.6364,2584.1829,2589.221,2663.0791,2515.3629,-45.5509,-44.9227,-1.2565
1990/9/24,2452.97,2512.38,2.6245,50.4657,2534.8329,2573.1793,2582.7329,2585.2235,2678.1143,2492.3327,-51.3889,-46.2159,-10.3459
1990/9/25,2485.64,2452.97,21.4571,49.5853,2523.6229,2562.995,2580.4814,2578.924,2680.917,2476.931,-52.771,-47.527,-10.4882
1990/9/26,2459.65,2485.64,10.5764,49.0278,2508.24,2553.235,2573.2443,2571.164,2684.6202,2457.7078,-55.3258,-49.0867,-12.4782
1990/9/27,2427.48,2458.91,10.9872,50.9008,2487.6957,2539.5157,2564.3219,2560.9165,2687.3533,2434.4797,-59.2632,-51.122,-16.2823
1990/9/28,2452.48,2427.48,36.4208,52.4807,2472.7029,2527.865,2555.7529,2553.8745,2688.1574,2419.5916,-59.6784,-52.8333,-13.6901
1990/10/1,2515.84,2452.48,68.0233,58.58,2472.3486,2520.9521,2552.0633,2548.9485,2681.1002,2416.7968,-54.2692,-53.1205,-2.2974
1990/10/2,2505.2,2515.84,71.0476,61.3971,2471.3229,2512.3421,2546.8652,2543.54,2673.425,2413.655,-50.2615,-52.5487,4.5743
1990/10/3,2489.36,2499.5,64.254,60.4245,2476.5214,2505.6771,2540.96,2536.597,2662.1976,2410.9964,-47.8125,-51.6014,7.5779
1990/10/4,2516.83,2489.36,80.3145,59.5741,2480.9771,2502.3,2535.6557,2532.624,2655.2664,2409.9816,-43.1575,-49.9126,13.5104
1990/10/5,2510.64,2516.83,76.6955,61.3653,2488.2614,2498.2507,2531.5771,2527.1785,2643.0547,2411.3023,-39.5123,-47.8326,16.6405
1990/10/8,2523.76,2511.63,84.3662,63.2056,2502.0157,2494.8557,2527.0157,2522.587,2630.7322,2414.4418,-35.1596,-45.298,20.2768
1990/10/9,2445.54,2521.53,38.6342,64.2781,2501.0243,2486.8636,2518.9181,2514.233,2618.8502,2409.6158,-37.5884,-43.7561,12.3353
1990/10/10,2407.92,2445.54,16.6394,64.4246,2485.6071,2478.9779,2509.1705,2503.342,2604.3724,2402.3116,-42.064,-43.4176,2.7073
1990/10/11,2365.1,2407.92,5.7879,64.7379,2465.5929,2468.4579,2496.759,2492.4635,2603.8519,2381.0751,-48.507,-44.4355,-8.1429
1990/10/12,2398.02,2365.07,22.5164,64.1452,2452.5443,2464.5329,2487.9662,2484.159,2597.7993,2370.5187,-50.376,-45.6236,-9.5048
1990/10/15,2416.34,2397.03,32.8594,64.9205,2438.1886,2459.5829,2480.9295,2476.6095,2587.0004,2366.2186,-49.8049,-46.4599,-6.69
1990/10/16,2381.19,2416.34,14.4176,65.0219,2419.6957,2453.9786,2472.0657,2467.1045,2575.8948,2358.3142,-51.5938,-47.4867,-8.2143
1990/10/17,2387.87,2381.19,17.9224,62.8882,2400.2829,2451.1493,2463.3314,2458.6265,2564.1574,2353.0956,-51.8745,-48.3642,-7.0206
1990/10/18,2452.72,2387.87,51.9465,64.1605,2401.3086,2451.1664,2458.3452,2455.3465,2557.0748,2353.6182,-46.3301,-47.9574,3.2546
1990/10/19,2520.79,2452.72,99.5591,69.0719,2417.4329,2451.52,2458.4629,2455.767,2558.552,2352.982,-36.0281,-45.5715,19.0869
1990/10/22,2516.09,2520.79,93.3165,69.4953,2439.0029,2452.2979,2458.6395,2458.923,2565.1644,2352.6816,-27.9211,-42.0415,28.2407
1990/10/23,2494.06,2516.09,80.6563,66.8999,2452.7229,2452.6336,2460.5962,2459.344,2566.0967,2352.5913,-23.0086,-38.2349,30.4525
1990/10/24,2504.21,2494.06,85.9491,64.0842,2465.2757,2451.7321,2461.4805,2461.572,2570.1952,2352.9488,-18.088,-34.2055,32.2351
1990/10/25,2484.16,2504.21,73.7733,62.5125,2479.9857,2449.8407,2462.6476,2464.406,2572.2388,2356.5732,-15.626,-30.4896,29.7272
1990/10/26,2436.14,2483.42,40.2297,61.4773,2486.8814,2443.5821,2463.06,2463.589,2572.048,2355.13,-17.3497,-27.8616,21.0238
